,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
78,78,"$1,598",1 Bed,1 Bath,1d ago,Avilla Deer ValleyOur team has verified this property23700 N 23rd Ave,Phoenix,AZ, 85085,,
79,79,"$1,391",1 Bed,1 Bath,1d ago,Mandarina Apartments5402 E Washington St,Phoenix,AZ, 85034,,
80,80,"$1,411",1 Bed,1 Bath,1d ago,Sierra Foothills ApartmentsOur team has verified this property13601 S 44th St,Phoenix,AZ, 85044,,
81,81,"$1,388",1 Bed,1 Bath,1d ago,Spectra on 7th South20425 N 7th St,Phoenix,AZ, 85024,,
82,82,"$1,803",1 Bed,1 Bath,1d ago,Biltmore at Camelback2625 E Camelback Rd,Phoenix,AZ, 85016,,
83,83,"$1,820",1 Bed,1 Bath,1d ago,District at Biltmore Apartments4600 N 24th St,Phoenix,AZ, 85016,,
84,84,"$1,521",1 Bed,1 Bath,1d ago,Roosevelt SquareOur team has verified this property121 W Portland St,Phoenix,AZ, 85003,,
85,85,"$2,016",1 Bed,1 Bath,2d ago,Altura330 E Pierce St,Phoenix,AZ, 85004,,
86,86,"$1,185",1 Bed,1 Bath,2d ago,Azul8111 N 19th Ave,Phoenix,AZ, 85021,,
87,87,"$1,215",1 Bed,1 Bath,2d ago,Senara ApartmentsOur team has verified this property5225 E Thomas Rd,Phoenix,AZ, 85018,,
88,88,"$1,395",1 Bed,1 Bath,2d ago,2620 E Turney Ave ,Phoenix,AZ, 85016,,
89,89,"$1,325",1 Bed,1 Bath,2d ago,Tides on 7thOur team has verified this property17625 N 7th St,Phoenix,AZ, 85022,,
90,90,"$1,325",1 Bed,1 Bath,2d ago,Tides on West DunlapOur team has verified this property4221 W Dunlap Ave,Phoenix,AZ, 85051,,
91,91,"$1,050",1 Bed,1 Bath,2d ago,The FranciscanOur team has verified this property4235 N 35th Ave,Phoenix,AZ, 85017,,
92,92,"$1,000",1 Bed,1 Bath,2d ago,Tides at East GlendaleOur team has verified this property4141 W Glendale Ave,Phoenix,AZ, 85051,,
