,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
105,105,"$1,595",1 Bed,1 Bath,1d ago,Chill ApartmentsOur team has verified this property66 S Clarkson St,Denver,CO, 80209,,
106,106,"$1,470",1 Bed,1 Bath,1d ago,RedPeak Colorado StationOur team has verified this property3725 Buchtel Blvd,Denver,CO, 80210,,
107,107,"$1,325",1 Bed,1 Bath,1d ago,Botanic Place ApartmentsOur team has verified this property1160 Josephine St,Denver,CO, 80206,,
108,108,"$1,784",1 Bed,1 Bath,1d ago,Monaco Row4665 S Monaco St,Denver,CO, 80237,,
109,109,"$1,767",1 Bed,1 Bath,1d ago,The Quincy1776 Curtis St,Denver,CO, 80202,,
110,110,"$1,935",1 Bed,1 Bath,1d ago,Ashley Union Station1850 Chestnut Pl,Denver,CO, 80202,,
111,111,"$1,761",1 Bed,1 Bath,1d ago,Gables Cherry Creek360 S Monroe St,Denver,CO, 80209,,
112,112,"$1,805",1 Bed,1 Bath,1d ago,The Battery on Blake Street2120 Blake St,Denver,CO, 80205,,
113,113,"$1,585",1 Bed,1 Bath,1d ago,7/S Denver HausOur team has verified this property175 E 7th Ave,Denver,CO, 80203,,
114,114,"$1,695",1 Bed,1 Bath,1d ago,The Boulevard Apartments150 W 9th Ave,Denver,CO, 80204,,
115,115,"$1,730",1 Bed,1 Bath,1d ago,The Seasons of Cherry CreekOur team has verified this property3498 E Ellsworth Ave,Denver,CO, 80209,,
116,116,"$1,660",1 Bed,1 Bath,1d ago,Windsor at Broadway Station1145 S Broadway,Denver,CO, 80210,,
117,117,"$1,605",1 Bed,1 Bath,1d ago,The Casey2100 Delgany St,Denver,CO, 80202,,
118,118,"$1,780",1 Bed,1 Bath,1d ago,The Manhattan by Windsor1801 Bassett St,Denver,CO, 80202,,
119,119,"$1,735",1 Bed,1 Bath,1d ago,Skyline 1801Our team has verified this property1801 Arapahoe St,Denver,CO, 80202,,
120,120,"$1,875",1 Bed,1 Bath,1d ago,Studio LoHi Apartments2555 17th St,Denver,CO, 80211,,
121,121,"$1,850",1 Bed,1 Bath,1d ago,Hartley Flats2749 Walnut St,Denver,CO, 80205,,
122,122,"$1,538",1 Bed,1 Bath,1d ago,1355 1355 Gaylord ST - 1355 Gaylord St ,Denver,CO, 80206,,
123,123,"$1,215",1 Bed,1 Bath,1d ago,The DelanoOur team has verified this property1020 N Pennsylvania St,Denver,CO, 80203,,
124,124,"$1,270",1 Bed,1 Bath,1d ago,The GlenwoodOur team has verified this property1280 Albion St,Denver,CO, 80220,,
125,125,"$1,059",1 Bed,1 Bath,1d ago,The Crossing Apartment HomesOur team has verified this property13500 Albrook Drive,Denver,CO, 80239,,
126,126,"$1,290",1 Bed,1 Bath,1d ago,137 S PennOur team has verified this property137 N Pennsylvania St,Denver,CO, 80203,,
127,127,"$1,325",1 Bed,1 Bath,1d ago,1270 Logan StOur team has verified this property1270 N Logan St,Denver,CO, 80203,,
128,128,"$1,470",1 Bed,1 Bath,1d ago,Arrive 800 Penn800 N Pennsylvania St,Denver,CO, 80203,,
129,129,"$1,465",1 Bed,1 Bath,1d ago,La PetiteOur team has verified this property1403 Vine St,Denver,CO, 80206,,
130,130,"$1,460",1 Bed,1 Bath,1d ago,1357 & 1373 CookOur team has verified this property1357 Cook St,Denver,CO, 80206,,
131,131,"$1,989",1 Bed,1 Bath,2d ago,The View at Wash Park255 N Washington St,Denver,CO, 80203,,
132,132,"$2,190",1 Bed,1 Bath,2d ago,2049 S Columbine St ,Denver,CO, 80210,,
133,133,"$2,170",1 Bed,1 Bath,2d ago,3055 Vallejo St ,Denver,CO, 80211,,
134,134,"$2,440",1 Bed,1 Bath,2d ago,777 N Emerson St ,Denver,CO, 80218,,
135,135,"$2,630",1 Bed,1 Bath,2d ago,140 W 10th Ave ,Denver,CO, 80204,,
136,136,"$2,500",1 Bed,1 Bath,2d ago,4109 E 10th Ave ,Denver,CO, 80220,,
137,137,"$2,590",1 Bed,1 Bath,2d ago,1935 N Logan St ,Denver,CO, 80203,,
138,138,"$2,210",1 Bed,1 Bath,2d ago,2049 S Columbine St ,Denver,CO, 80210,,
139,139,"$2,360",1 Bed,1 Bath,2d ago,2100 Welton St ,Denver,CO, 80205,,
